onboarding_id,employee_id,onboarding_start_date,onboarding_end_date,onboarding_type,onboarding_method,duration_days,completion_status,result,onboarding_satisfaction,notes
ONB000491,DUD100491,2025-11-06,,Standard Teacher Onboarding,Online,10,Incomplete,Incomplete,,
ONB000492,DUD100492,2021-10-30,2021-11-06,Experienced Teacher Onboarding,In-person,7,Completed,Passed,1,
ONB000493,DUD100493,2022-01-08,,Rehire Onboarding,In-person,21,Incomplete,Incomplete,,
ONB000494,DUD100494,2025-10-04,,Rehire Onboarding,Hybrid,8,Incomplete,Incomplete,,
ONB000495,DUD100495,2025-04-04,2025-04-13,Experienced Teacher Onboarding,In-person,9,Completed,Passed,5,
ONB000496,DUD100496,2025-07-05,2025-07-20,Experienced Teacher Onboarding,Hybrid,15,Completed,Satisfactory,2,
ONB000497,DUD100497,2024-07-23,2024-08-02,Experienced Teacher Onboarding,In-person,10,Completed,Satisfactory,3,
ONB000498,DUD100498,2021-04-18,2021-05-08,Rehire Onboarding,Online,20,Completed,Satisfactory,5,
ONB000499,DUD100499,2021-09-05,2021-09-24,Standard Teacher Onboarding,Hybrid,19,Delayed,Passed,4,
ONB000500,DUD100500,2026-04-22,2026-04-30,Experienced Teacher Onboarding,Hybrid,8,Completed,Satisfactory,2,
ONB000501,DUD100501,2023-09-25,2023-10-13,Rehire Onboarding,Online,18,Completed,Needs Improvement,3,
ONB000502,DUD100502,2025-12-27,,Rehire Onboarding,In-person,13,Incomplete,Incomplete,,
ONB000503,DUD100503,2021-06-25,2021-07-06,Rehire Onboarding,In-person,11,Delayed,Passed,4,
ONB000504,DUD100504,2021-09-15,2021-09-26,Rehire Onboarding,Online,11,Completed,Needs Improvement,3,
ONB000505,DUD100505,2025-11-15,2025-11-29,Rehire Onboarding,Hybrid,14,Completed,Satisfactory,2,
ONB000506,DUD100506,2024-02-11,2024-03-03,Standard Teacher Onboarding,Online,21,Completed,Passed,5,
ONB000507,DUD100507,2024-05-18,2024-05-30,Experienced Teacher Onboarding,Online,12,Delayed,Passed,3,
ONB000508,DUD100508,2026-06-02,2026-06-21,Standard Teacher Onboarding,In-person,19,Delayed,Passed,4,
ONB000509,DUD100509,2022-04-14,2022-04-22,Standard Teacher Onboarding,Hybrid,8,Completed,Passed,3,
ONB000510,DUD100510,2021-06-27,2021-07-08,Rehire Onboarding,Online,11,Delayed,Satisfactory,1,
ONB000511,DUD100511,2026-03-30,2026-04-18,Rehire Onboarding,Hybrid,19,Completed,Passed,5,
ONB000512,DUD100512,2026-05-31,,Experienced Teacher Onboarding,Online,18,Incomplete,Incomplete,,
ONB000513,DUD100513,2024-12-04,,Standard Teacher Onboarding,Online,18,Incomplete,Incomplete,,
ONB000514,DUD100514,2024-08-19,2024-09-02,Experienced Teacher Onboarding,In-person,14,Completed,Satisfactory,3,
ONB000515,DUD100515,2022-12-25,2023-01-13,Standard Teacher Onboarding,In-person,19,Completed,Satisfactory,5,
ONB000516,DUD100516,2023-03-14,,Experienced Teacher Onboarding,In-person,7,Incomplete,Incomplete,,
ONB000517,DUD100517,2025-10-31,,Experienced Teacher Onboarding,Online,13,Incomplete,Incomplete,,
ONB000518,DUD100518,2026-01-09,2026-01-24,Standard Teacher Onboarding,Hybrid,15,Completed,Needs Improvement,1,
ONB000519,DUD100519,2022-07-18,2022-08-02,Experienced Teacher Onboarding,In-person,15,Completed,Needs Improvement,4,
ONB000520,DUD100520,2025-01-14,2025-01-30,Experienced Teacher Onboarding,In-person,16,Delayed,Satisfactory,2,
ONB000521,DUD100521,2021-12-29,2022-01-19,Standard Teacher Onboarding,Hybrid,21,Completed,Passed,4,
ONB000522,DUD100522,2025-01-11,2025-01-18,Experienced Teacher Onboarding,Online,7,Completed,Passed,5,
ONB000523,DUD100523,2023-12-04,2023-12-13,Standard Teacher Onboarding,Hybrid,9,Completed,Passed,1,
ONB000524,DUD100524,2025-03-13,2025-04-03,Experienced Teacher Onboarding,In-person,21,Delayed,Passed,5,
ONB000525,DUD100525,2025-09-27,,Standard Teacher Onboarding,Online,15,Incomplete,Incomplete,,
ONB000526,DUD100526,2021-06-06,2021-06-14,Experienced Teacher Onboarding,Online,8,Completed,Passed,3,
ONB000527,DUD100527,2025-07-09,,Standard Teacher Onboarding,Hybrid,17,Incomplete,Incomplete,,
ONB000528,DUD100528,2026-03-26,,Experienced Teacher Onboarding,In-person,17,Incomplete,Incomplete,,
ONB000529,DUD100529,2023-03-19,,Experienced Teacher Onboarding,Online,18,Incomplete,Incomplete,,
ONB000530,DUD100530,2023-05-20,2023-05-30,Standard Teacher Onboarding,Hybrid,10,Completed,Passed,5,
ONB000531,DUD100531,2024-07-07,2024-07-16,Experienced Teacher Onboarding,In-person,9,Completed,Passed,5,
ONB000532,DUD100532,2024-01-08,2024-01-15,Standard Teacher Onboarding,Online,7,Completed,Needs Improvement,1,
ONB000533,DUD100533,2024-06-12,2024-06-21,Rehire Onboarding,Online,9,Completed,Satisfactory,4,
ONB000534,DUD100534,2021-06-12,2021-06-20,Experienced Teacher Onboarding,In-person,8,Delayed,Satisfactory,1,
ONB000535,DUD100535,2025-12-01,2025-12-16,Experienced Teacher Onboarding,In-person,15,Completed,Satisfactory,1,
ONB000536,DUD100536,2025-03-26,,Experienced Teacher Onboarding,Online,7,Incomplete,Incomplete,,
ONB000537,DUD100537,2023-02-28,,Rehire Onboarding,Hybrid,9,Incomplete,Incomplete,,
ONB000538,DUD100538,2026-02-11,2026-02-25,Experienced Teacher Onboarding,Hybrid,14,Completed,Satisfactory,2,
ONB000539,DUD100539,2024-10-13,2024-10-27,Rehire Onboarding,Online,14,Completed,Passed,1,
ONB000540,DUD100540,2021-07-26,2021-08-02,Rehire Onboarding,Online,7,Completed,Passed,4,
ONB000541,DUD100541,2026-01-19,2026-01-31,Experienced Teacher Onboarding,In-person,12,Completed,Needs Improvement,1,
ONB000542,DUD100542,2025-09-05,2025-09-23,Standard Teacher Onboarding,In-person,18,Completed,Satisfactory,4,
ONB000543,DUD100543,2021-08-04,2021-08-12,Experienced Teacher Onboarding,In-person,8,Completed,Satisfactory,2,
ONB000544,DUD100544,2022-02-28,2022-03-10,Experienced Teacher Onboarding,In-person,10,Completed,Satisfactory,5,
ONB000545,DUD100545,2023-12-25,2024-01-11,Rehire Onboarding,Hybrid,17,Completed,Needs Improvement,5,
ONB000546,DUD100546,2025-11-24,2025-12-11,Experienced Teacher Onboarding,In-person,17,Completed,Passed,4,
ONB000547,DUD100547,2022-08-02,,Experienced Teacher Onboarding,Online,15,Incomplete,Incomplete,,
ONB000548,DUD100548,2025-12-31,,Standard Teacher Onboarding,Online,9,Incomplete,Incomplete,,
ONB000549,DUD100549,2025-06-13,2025-07-04,Standard Teacher Onboarding,In-person,21,Completed,Satisfactory,4,
ONB000550,DUD100550,2024-06-04,2024-06-13,Experienced Teacher Onboarding,In-person,9,Delayed,Passed,1,
ONB000551,DUD100551,2025-12-01,2025-12-10,Experienced Teacher Onboarding,Hybrid,9,Completed,Passed,2,
ONB000552,DUD100552,2023-06-26,2023-07-10,Standard Teacher Onboarding,In-person,14,Delayed,Needs Improvement,5,
ONB000553,DUD100553,2021-01-26,2021-02-15,Standard Teacher Onboarding,Online,20,Completed,Needs Improvement,3,
ONB000554,DUD100554,2026-01-03,2026-01-10,Standard Teacher Onboarding,In-person,7,Completed,Satisfactory,3,
ONB000555,DUD100555,2025-11-17,2025-11-30,Standard Teacher Onboarding,In-person,13,Completed,Passed,2,
ONB000556,DUD100556,2024-01-28,2024-02-18,Standard Teacher Onboarding,Hybrid,21,Delayed,Needs Improvement,2,
ONB000557,DUD100557,2025-12-19,,Rehire Onboarding,Hybrid,14,Incomplete,Incomplete,,
ONB000558,DUD100558,2025-01-12,2025-01-25,Experienced Teacher Onboarding,Hybrid,13,Delayed,Passed,4,
ONB000559,DUD100559,2022-09-27,2022-10-10,Standard Teacher Onboarding,Hybrid,13,Completed,Passed,4,
ONB000560,DUD100560,2024-05-01,,Standard Teacher Onboarding,Hybrid,10,Incomplete,Incomplete,,
ONB000561,DUD100561,2021-10-18,2021-10-29,Experienced Teacher Onboarding,Hybrid,11,Completed,Passed,2,
ONB000562,DUD100562,2024-11-19,,Rehire Onboarding,Hybrid,19,Incomplete,Incomplete,,
ONB000563,DUD100563,2021-06-22,2021-07-07,Rehire Onboarding,Hybrid,15,Completed,Needs Improvement,3,
ONB000564,DUD100564,2024-02-19,2024-03-08,Standard Teacher Onboarding,In-person,18,Completed,Satisfactory,3,
ONB000565,DUD100565,2023-04-20,2023-05-08,Standard Teacher Onboarding,In-person,18,Completed,Needs Improvement,4,
ONB000566,DUD100566,2022-09-20,2022-09-27,Experienced Teacher Onboarding,Hybrid,7,Delayed,Satisfactory,4,
ONB000567,DUD100567,2023-12-09,2023-12-25,Standard Teacher Onboarding,Hybrid,16,Completed,Needs Improvement,2,
ONB000568,DUD100568,2025-04-23,2025-05-13,Experienced Teacher Onboarding,In-person,20,Completed,Passed,1,
ONB000569,DUD100569,2022-06-24,2022-07-12,Standard Teacher Onboarding,In-person,18,Delayed,Satisfactory,5,
ONB000570,DUD100570,2024-07-10,2024-07-23,Experienced Teacher Onboarding,Online,13,Delayed,Passed,1,
ONB000571,DUD100571,2024-01-13,2024-01-20,Standard Teacher Onboarding,In-person,7,Completed,Needs Improvement,5,
ONB000572,DUD100572,2022-04-20,2022-04-27,Standard Teacher Onboarding,Hybrid,7,Completed,Satisfactory,3,
ONB000573,DUD100573,2022-03-05,2022-03-14,Rehire Onboarding,Online,9,Completed,Needs Improvement,5,
ONB000574,DUD100574,2025-07-22,2025-08-12,Experienced Teacher Onboarding,In-person,21,Completed,Passed,4,
ONB000575,DUD100575,2023-12-21,2024-01-01,Experienced Teacher Onboarding,In-person,11,Completed,Passed,1,
ONB000576,DUD100576,2023-04-16,2023-05-05,Rehire Onboarding,Online,19,Completed,Passed,3,
ONB000577,DUD100577,2022-07-16,,Experienced Teacher Onboarding,In-person,18,Incomplete,Incomplete,,
ONB000578,DUD100578,2021-05-28,2021-06-10,Standard Teacher Onboarding,Hybrid,13,Completed,Needs Improvement,1,
ONB000579,DUD100579,2022-11-11,,Standard Teacher Onboarding,Online,19,Incomplete,Incomplete,,
ONB000580,DUD100580,2021-07-11,2021-07-26,Rehire Onboarding,Online,15,Completed,Passed,3,
ONB000581,DUD100581,2022-07-29,2022-08-05,Rehire Onboarding,Online,7,Completed,Needs Improvement,1,
ONB000582,DUD100582,2022-01-15,2022-01-22,Rehire Onboarding,In-person,7,Completed,Satisfactory,3,
ONB000583,DUD100583,2024-08-20,,Standard Teacher Onboarding,In-person,19,Incomplete,Incomplete,,
ONB000584,DUD100584,2023-04-18,,Experienced Teacher Onboarding,In-person,21,Incomplete,Incomplete,,
ONB000585,DUD100585,2022-03-22,2022-03-30,Rehire Onboarding,Hybrid,8,Delayed,Needs Improvement,1,
ONB000586,DUD100586,2022-01-10,2022-01-24,Experienced Teacher Onboarding,Hybrid,14,Completed,Satisfactory,3,
ONB000587,DUD100587,2021-07-30,2021-08-11,Rehire Onboarding,In-person,12,Delayed,Needs Improvement,4,
ONB000588,DUD100588,2022-07-21,2022-08-05,Rehire Onboarding,Online,15,Completed,Needs Improvement,5,
ONB000589,DUD100589,2021-09-05,2021-09-24,Experienced Teacher Onboarding,Hybrid,19,Completed,Needs Improvement,5,
ONB000590,DUD100590,2022-10-08,2022-10-22,Experienced Teacher Onboarding,Hybrid,14,Completed,Needs Improvement,5,
ONB000591,DUD100591,2023-01-31,2023-02-16,Rehire Onboarding,Online,16,Completed,Passed,1,
ONB000592,DUD100592,2024-11-05,2024-11-23,Experienced Teacher Onboarding,Online,18,Completed,Passed,1,
ONB000593,DUD100593,2023-07-26,2023-08-07,Standard Teacher Onboarding,Online,12,Completed,Satisfactory,3,
ONB000594,DUD100594,2024-08-08,2024-08-24,Standard Teacher Onboarding,Online,16,Completed,Passed,1,
ONB000595,DUD100595,2024-08-23,2024-09-09,Standard Teacher Onboarding,Hybrid,17,Completed,Passed,1,
ONB000596,DUD100596,2025-06-21,2025-07-06,Experienced Teacher Onboarding,Hybrid,15,Delayed,Satisfactory,3,
ONB000597,DUD100597,2023-03-11,2023-03-22,Experienced Teacher Onboarding,Online,11,Completed,Passed,4,
ONB000598,DUD100598,2026-03-22,2026-03-31,Rehire Onboarding,Hybrid,9,Completed,Needs Improvement,4,
ONB000599,DUD100599,2022-08-15,2022-08-29,Standard Teacher Onboarding,In-person,14,Completed,Needs Improvement,5,
ONB000600,DUD100600,2026-06-12,2026-06-24,Experienced Teacher Onboarding,In-person,12,Delayed,Satisfactory,1,
ONB000601,DUD100601,2022-10-03,2022-10-21,Standard Teacher Onboarding,In-person,18,Completed,Passed,3,
ONB000602,DUD100602,2021-05-05,,Rehire Onboarding,In-person,18,Incomplete,Incomplete,,
ONB000603,DUD100603,2023-04-02,2023-04-13,Rehire Onboarding,Online,11,Completed,Passed,5,
ONB000604,DUD100604,2025-03-08,2025-03-27,Standard Teacher Onboarding,Online,19,Completed,Passed,4,
ONB000605,DUD100605,2025-10-04,2025-10-23,Standard Teacher Onboarding,In-person,19,Completed,Satisfactory,2,
ONB000606,DUD100606,2024-08-24,2024-08-31,Experienced Teacher Onboarding,Online,7,Completed,Satisfactory,2,
ONB000607,DUD100607,2025-06-19,2025-07-04,Rehire Onboarding,Online,15,Completed,Passed,2,
ONB000608,DUD100608,2023-10-31,2023-11-19,Standard Teacher Onboarding,Hybrid,19,Completed,Passed,2,
ONB000609,DUD100609,2022-01-15,2022-01-25,Experienced Teacher Onboarding,In-person,10,Completed,Passed,1,
ONB000610,DUD100610,2021-05-31,2021-06-14,Rehire Onboarding,In-person,14,Completed,Passed,1,
ONB000611,DUD100611,2021-06-10,,Experienced Teacher Onboarding,In-person,15,Incomplete,Incomplete,,
ONB000612,DUD100612,2023-12-08,2023-12-18,Standard Teacher Onboarding,In-person,10,Completed,Needs Improvement,2,
ONB000613,DUD100613,2023-02-10,2023-02-17,Experienced Teacher Onboarding,In-person,7,Completed,Satisfactory,2,
ONB000614,DUD100614,2025-10-04,2025-10-11,Experienced Teacher Onboarding,In-person,7,Completed,Passed,5,
ONB000615,DUD100615,2026-02-21,2026-03-12,Experienced Teacher Onboarding,In-person,19,Completed,Satisfactory,2,
ONB000616,DUD100616,2026-07-14,2026-07-25,Standard Teacher Onboarding,Online,11,Completed,Passed,5,
ONB000617,DUD100617,2025-08-20,2025-08-30,Rehire Onboarding,In-person,10,Completed,Passed,2,
ONB000618,DUD100618,2023-05-15,,Experienced Teacher Onboarding,In-person,10,Incomplete,Incomplete,,
ONB000619,DUD100619,2024-02-05,2024-02-26,Rehire Onboarding,Hybrid,21,Completed,Needs Improvement,2,
ONB000620,DUD100620,2024-01-28,2024-02-18,Rehire Onboarding,In-person,21,Completed,Needs Improvement,2,
ONB000621,DUD100621,2022-07-27,2022-08-04,Standard Teacher Onboarding,Online,8,Delayed,Satisfactory,3,
ONB000622,DUD100622,2021-04-15,2021-05-06,Rehire Onboarding,Hybrid,21,Completed,Needs Improvement,4,
ONB000623,DUD100623,2021-04-10,2021-04-19,Standard Teacher Onboarding,Online,9,Completed,Passed,1,
ONB000624,DUD100624,2026-03-29,,Experienced Teacher Onboarding,Online,21,Incomplete,Incomplete,,
ONB000625,DUD100625,2021-06-11,2021-06-20,Standard Teacher Onboarding,In-person,9,Delayed,Satisfactory,1,
ONB000626,DUD100626,2023-04-18,2023-05-08,Experienced Teacher Onboarding,Hybrid,20,Completed,Satisfactory,2,
ONB000627,DUD100627,2025-11-15,2025-11-22,Rehire Onboarding,In-person,7,Completed,Passed,2,
ONB000628,DUD100628,2022-02-13,,Rehire Onboarding,Online,20,Incomplete,Incomplete,,
ONB000629,DUD100629,2026-03-26,,Rehire Onboarding,Online,13,Incomplete,Incomplete,,
ONB000630,DUD100630,2024-06-01,2024-06-17,Standard Teacher Onboarding,In-person,16,Completed,Passed,3,
ONB000631,DUD100631,2023-08-24,2023-09-06,Experienced Teacher Onboarding,Hybrid,13,Delayed,Passed,3,
ONB000632,DUD100632,2022-07-25,,Standard Teacher Onboarding,Hybrid,15,Incomplete,Incomplete,,
ONB000633,DUD100633,2026-03-15,2026-04-03,Standard Teacher Onboarding,Online,19,Delayed,Satisfactory,1,
ONB000634,DUD100634,2021-01-29,2021-02-17,Standard Teacher Onboarding,Hybrid,19,Completed,Passed,4,
ONB000635,DUD100635,2025-01-12,2025-01-27,Rehire Onboarding,Hybrid,15,Delayed,Needs Improvement,5,
ONB000636,DUD100636,2021-06-06,,Experienced Teacher Onboarding,Online,10,Incomplete,Incomplete,,
ONB000637,DUD100637,2022-10-27,2022-11-15,Rehire Onboarding,Online,19,Completed,Satisfactory,3,
ONB000638,DUD100638,2023-11-18,,Rehire Onboarding,Online,9,Incomplete,Incomplete,,
ONB000639,DUD100639,2022-09-17,,Standard Teacher Onboarding,In-person,12,Incomplete,Incomplete,,
ONB000640,DUD100640,2024-08-31,2024-09-15,Standard Teacher Onboarding,In-person,15,Completed,Passed,4,
ONB000641,DUD100641,2025-09-05,,Rehire Onboarding,Online,18,Incomplete,Incomplete,,
ONB000642,DUD100642,2021-07-12,2021-08-02,Experienced Teacher Onboarding,In-person,21,Completed,Needs Improvement,5,
ONB000643,DUD100643,2022-12-02,2022-12-09,Experienced Teacher Onboarding,Hybrid,7,Completed,Needs Improvement,5,
ONB000644,DUD100644,2023-09-16,2023-10-02,Standard Teacher Onboarding,In-person,16,Completed,Satisfactory,1,
ONB000645,DUD100645,2024-11-12,2024-11-27,Standard Teacher Onboarding,In-person,15,Completed,Needs Improvement,3,
ONB000646,DUD100646,2021-06-22,2021-07-04,Experienced Teacher Onboarding,Hybrid,12,Completed,Passed,4,
ONB000647,DUD100647,2024-07-16,,Standard Teacher Onboarding,Hybrid,21,Incomplete,Incomplete,,
ONB000648,DUD100648,2023-08-08,2023-08-19,Experienced Teacher Onboarding,Hybrid,11,Delayed,Needs Improvement,2,
ONB000649,DUD100649,2023-01-01,2023-01-20,Rehire Onboarding,In-person,19,Delayed,Passed,1,
ONB000650,DUD100650,2023-06-29,,Standard Teacher Onboarding,Online,9,Incomplete,Incomplete,,
ONB000651,DUD100651,2021-09-28,2021-10-19,Rehire Onboarding,In-person,21,Completed,Satisfactory,2,
ONB000652,DUD100652,2025-10-01,,Experienced Teacher Onboarding,Online,20,Incomplete,Incomplete,,
ONB000653,DUD100653,2025-03-19,2025-03-28,Experienced Teacher Onboarding,Online,9,Completed,Passed,2,
ONB000654,DUD100654,2022-08-01,2022-08-16,Standard Teacher Onboarding,Online,15,Completed,Needs Improvement,3,
ONB000655,DUD100655,2023-03-24,2023-04-02,Standard Teacher Onboarding,In-person,9,Completed,Needs Improvement,3,
ONB000656,DUD100656,2024-09-10,,Standard Teacher Onboarding,Hybrid,11,Incomplete,Incomplete,,
ONB000657,DUD100657,2023-05-31,2023-06-08,Experienced Teacher Onboarding,Online,8,Completed,Passed,1,
ONB000658,DUD100658,2024-04-14,2024-04-25,Rehire Onboarding,Online,11,Delayed,Passed,5,
ONB000659,DUD100659,2021-02-13,2021-02-28,Experienced Teacher Onboarding,In-person,15,Completed,Satisfactory,4,
ONB000660,DUD100660,2025-07-07,2025-07-14,Experienced Teacher Onboarding,Online,7,Completed,Needs Improvement,5,
ONB000661,DUD100661,2025-09-12,2025-09-19,Experienced Teacher Onboarding,Hybrid,7,Completed,Passed,4,
ONB000662,DUD100662,2023-02-15,2023-02-28,Standard Teacher Onboarding,Online,13,Delayed,Passed,1,
ONB000663,DUD100663,2025-04-17,,Experienced Teacher Onboarding,Online,16,Incomplete,Incomplete,,
ONB000664,DUD100664,2024-11-17,2024-11-30,Standard Teacher Onboarding,In-person,13,Delayed,Satisfactory,1,
ONB000665,DUD100665,2022-01-21,,Rehire Onboarding,In-person,21,Incomplete,Incomplete,,
ONB000666,DUD100666,2021-04-30,,Standard Teacher Onboarding,In-person,17,Incomplete,Incomplete,,
ONB000667,DUD100667,2025-04-25,,Rehire Onboarding,In-person,12,Incomplete,Incomplete,,
ONB000668,DUD100668,2025-06-22,2025-07-12,Rehire Onboarding,Hybrid,20,Delayed,Passed,5,
ONB000669,DUD100669,2024-05-10,2024-05-24,Standard Teacher Onboarding,Hybrid,14,Completed,Satisfactory,1,
ONB000670,DUD100670,2024-11-27,2024-12-16,Experienced Teacher Onboarding,Online,19,Delayed,Needs Improvement,1,
ONB000671,DUD100671,2023-08-12,2023-08-30,Standard Teacher Onboarding,Online,18,Completed,Needs Improvement,4,
ONB000672,DUD100672,2024-10-01,2024-10-09,Rehire Onboarding,Hybrid,8,Completed,Passed,2,
ONB000673,DUD100673,2024-03-30,2024-04-09,Experienced Teacher Onboarding,Hybrid,10,Completed,Needs Improvement,5,
ONB000674,DUD100674,2023-10-12,2023-10-26,Experienced Teacher Onboarding,Online,14,Completed,Satisfactory,4,
ONB000675,DUD100675,2024-07-16,2024-07-27,Rehire Onboarding,In-person,11,Completed,Passed,1,
ONB000676,DUD100676,2023-07-01,2023-07-18,Experienced Teacher Onboarding,In-person,17,Delayed,Needs Improvement,1,
ONB000677,DUD100677,2025-11-09,2025-11-19,Experienced Teacher Onboarding,Online,10,Completed,Passed,5,
ONB000678,DUD100678,2021-06-10,2021-06-18,Experienced Teacher Onboarding,In-person,8,Completed,Satisfactory,2,
ONB000679,DUD100679,2024-03-17,2024-03-25,Experienced Teacher Onboarding,Hybrid,8,Completed,Passed,5,
ONB000680,DUD100680,2022-02-02,2022-02-09,Rehire Onboarding,Hybrid,7,Completed,Passed,2,
ONB000681,DUD100681,2021-07-21,2021-08-01,Rehire Onboarding,Online,11,Delayed,Passed,4,
ONB000682,DUD100682,2021-10-16,2021-10-25,Rehire Onboarding,Online,9,Completed,Passed,4,
ONB000683,DUD100683,2022-07-02,2022-07-22,Experienced Teacher Onboarding,In-person,20,Completed,Passed,1,
ONB000684,DUD100684,2021-04-11,2021-04-30,Experienced Teacher Onboarding,In-person,19,Delayed,Satisfactory,2,
ONB000685,DUD100685,2022-06-22,2022-07-03,Rehire Onboarding,In-person,11,Completed,Satisfactory,5,
ONB000686,DUD100686,2026-07-14,2026-07-21,Experienced Teacher Onboarding,Hybrid,7,Completed,Passed,3,
ONB000687,DUD100687,2024-12-24,2025-01-07,Standard Teacher Onboarding,Online,14,Delayed,Passed,1,
ONB000688,DUD100688,2021-09-21,2021-10-11,Standard Teacher Onboarding,Hybrid,20,Completed,Passed,3,
ONB000689,DUD100689,2021-11-11,2021-11-20,Standard Teacher Onboarding,Online,9,Completed,Passed,1,
ONB000690,DUD100690,2023-11-08,,Experienced Teacher Onboarding,Online,21,Incomplete,Incomplete,,
ONB000691,DUD100691,2023-01-24,,Rehire Onboarding,Hybrid,20,Incomplete,Incomplete,,
ONB000692,DUD100692,2022-02-03,2022-02-16,Experienced Teacher Onboarding,Online,13,Delayed,Passed,5,
ONB000693,DUD100693,2025-01-28,2025-02-04,Rehire Onboarding,Hybrid,7,Completed,Satisfactory,5,
ONB000694,DUD100694,2025-03-02,,Rehire Onboarding,Hybrid,13,Incomplete,Incomplete,,
ONB000695,DUD100695,2025-10-08,2025-10-29,Standard Teacher Onboarding,In-person,21,Completed,Passed,2,
ONB000696,DUD100696,2021-12-27,,Rehire Onboarding,Hybrid,12,Incomplete,Incomplete,,
ONB000697,DUD100697,2024-01-10,2024-01-17,Standard Teacher Onboarding,In-person,7,Completed,Satisfactory,3,
ONB000698,DUD100698,2024-04-25,2024-05-03,Standard Teacher Onboarding,Online,8,Delayed,Needs Improvement,5,
ONB000699,DUD100699,2023-08-03,2023-08-20,Rehire Onboarding,In-person,17,Completed,Passed,3,
ONB000700,DUD100700,2025-09-15,2025-09-27,Experienced Teacher Onboarding,Hybrid,12,Completed,Passed,3,
ONB000701,DUD100701,2026-06-21,2026-07-04,Standard Teacher Onboarding,In-person,13,Completed,Satisfactory,1,
ONB000702,DUD100702,2021-07-24,2021-08-08,Experienced Teacher Onboarding,In-person,15,Delayed,Satisfactory,2,
ONB000703,DUD100703,2026-06-13,,Rehire Onboarding,In-person,9,Incomplete,Incomplete,,
ONB000704,DUD100704,2024-12-10,2024-12-20,Rehire Onboarding,Hybrid,10,Completed,Satisfactory,3,
ONB000705,DUD100705,2025-08-21,2025-08-29,Rehire Onboarding,Hybrid,8,Completed,Needs Improvement,2,
ONB000706,DUD100706,2026-04-03,2026-04-10,Standard Teacher Onboarding,Hybrid,7,Completed,Passed,4,
ONB000707,DUD100707,2022-11-30,2022-12-13,Experienced Teacher Onboarding,Hybrid,13,Completed,Passed,1,
ONB000708,DUD100708,2022-06-17,2022-06-25,Rehire Onboarding,Hybrid,8,Delayed,Satisfactory,5,
ONB000709,DUD100709,2023-12-27,2024-01-06,Experienced Teacher Onboarding,Hybrid,10,Delayed,Passed,4,
ONB000710,DUD100710,2026-04-15,2026-05-01,Standard Teacher Onboarding,In-person,16,Completed,Passed,1,
ONB000711,DUD100711,2022-08-14,2022-09-01,Standard Teacher Onboarding,Online,18,Completed,Passed,3,
ONB000712,DUD100712,2026-02-02,2026-02-09,Rehire Onboarding,Online,7,Delayed,Needs Improvement,3,
ONB000713,DUD100713,2022-09-27,,Standard Teacher Onboarding,Online,7,Incomplete,Incomplete,,
ONB000714,DUD100714,2021-01-23,,Experienced Teacher Onboarding,Hybrid,16,Incomplete,Incomplete,,
ONB000715,DUD100715,2024-04-18,2024-05-08,Rehire Onboarding,Hybrid,20,Delayed,Needs Improvement,1,
ONB000716,DUD100716,2022-08-05,,Rehire Onboarding,In-person,19,Incomplete,Incomplete,,
ONB000717,DUD100717,2022-01-09,2022-01-27,Rehire Onboarding,In-person,18,Delayed,Satisfactory,2,
ONB000718,DUD100718,2024-03-31,2024-04-19,Experienced Teacher Onboarding,Online,19,Completed,Needs Improvement,1,
ONB000719,DUD100719,2021-02-15,2021-03-03,Rehire Onboarding,Hybrid,16,Delayed,Passed,2,
ONB000720,DUD100720,2021-03-19,2021-04-06,Standard Teacher Onboarding,Online,18,Completed,Passed,1,
ONB000721,DUD100721,2021-02-26,2021-03-08,Experienced Teacher Onboarding,Hybrid,10,Completed,Satisfactory,4,
ONB000722,DUD100722,2022-07-16,2022-07-29,Rehire Onboarding,In-person,13,Completed,Passed,2,
ONB000723,DUD100723,2024-02-29,2024-03-14,Rehire Onboarding,Hybrid,14,Delayed,Passed,1,
ONB000724,DUD100724,2023-05-07,,Experienced Teacher Onboarding,Hybrid,10,Incomplete,Incomplete,,
ONB000725,DUD100725,2025-09-16,2025-10-03,Experienced Teacher Onboarding,Online,17,Delayed,Satisfactory,5,
ONB000726,DUD100726,2023-12-26,2024-01-10,Rehire Onboarding,Hybrid,15,Delayed,Needs Improvement,1,
ONB000727,DUD100727,2024-04-26,2024-05-05,Standard Teacher Onboarding,Online,9,Completed,Passed,2,
ONB000728,DUD100728,2023-02-17,2023-03-10,Rehire Onboarding,In-person,21,Completed,Passed,4,
ONB000729,DUD100729,2022-10-19,2022-10-31,Standard Teacher Onboarding,Hybrid,12,Completed,Satisfactory,4,
ONB000730,DUD100730,2022-08-11,2022-08-27,Experienced Teacher Onboarding,Hybrid,16,Delayed,Needs Improvement,2,
ONB000731,DUD100731,2025-11-07,2025-11-19,Rehire Onboarding,In-person,12,Completed,Needs Improvement,3,
ONB000732,DUD100732,2022-07-31,,Standard Teacher Onboarding,Hybrid,15,Incomplete,Incomplete,,
ONB000733,DUD100733,2023-07-21,2023-08-08,Standard Teacher Onboarding,Online,18,Completed,Satisfactory,5,
ONB000734,DUD100734,2025-04-24,2025-05-07,Standard Teacher Onboarding,In-person,13,Completed,Passed,1,
ONB000735,DUD100735,2023-07-04,2023-07-17,Rehire Onboarding,In-person,13,Delayed,Passed,4,
